,Type,Tweet,Explanation
76,HateHateHate,<user> we need all muslims removed from power before they destroy us all,"

The tweet is from a user who is concerned about the rise of Islam and the potential threat that they believe it poses to the world."
77,HateHateHate,<user> <user> get this nigger out of here,"

The tweet is from a user who is asking for someone to remove a black person from their current location."
78,HateHateHate,<user> the trump woman must be raped 😠 😠 😠 😠 💩 💩 💩 💩,"

The tweet is in reference to a recent incident in which a woman was allegedly raped by Donald Trump. The user is expressing their anger and disgust at the incident."
79,HateHateHate,<user> <user> lmao larry are you a nigger,"

The tweet is from a user who is making a racist joke about Larry, a black man."
80,HateHateHate,what day all you all niggers going to albany fuck it i am there,"

The tweet is in reference to a planned protest in Albany, New York. The user is asking what day the protest is taking place, and says that they will be in attendance."
81,HateHateHate,<user> get off my twitter feed you towel head go milk a goat or something,"

The tweet is from a user who is angry at another user for unknown reasons. They tell the other user to go milk a goat, which is likely a derogatory comment aimed at their Muslim faith."
82,HateHateHate,god of israel is a faggot he a joke,"

The tweet is from a user who is angry at the god of Israel, calling him a ""faggot"" and a ""joke."""
83,HateHateHate,fuck you bitch ass niggers,"

The tweet is from a user who is angry and cursing at black people."
84,HateHateHate,i cant fckn stand the towelhead,"

The tweet is from a user who is angry and frustrated with a person of Middle Eastern descent."
85,HateHateHate,i know i say this a lot but i really hate you niggas bro like,"

The tweet is from a user who is angry at black people, using a derogatory term to refer to them. The user says that they hate black people and they feel like they say it a lot."
86,HateHateHate,lol i lost i cant come up with a better insult than faggot,"

The tweet is in reference to a recent insult that was directed at the user. The user found the insult to be humorous, as they were not able to come up with a better one themselves."
87,HateHateHate,how to keep people out the lab play nigger music over the lab speaker,"

The tweet is in reference to a recent article that was published on how to keep people from entering a laboratory. The article suggests playing ""nigger music"" over the laboratory speakers as a way to deter people from entering."
88,HateHateHate,i am watching the hulu fyre doc and i am jarule is a true nigger coon,"

The tweet is in reference to the Hulu documentary ""Fyre"", which chronicles the disastrous Fyre Festival. The user is saying that they believe Ja Rule, one of the organizers of the festival, is a ""true nigger coon""."
89,HateHateHate,<user> you fucking nigger,"

The tweet is from a user who is angry at someone for unknown reasons. They refer to the person as a ""fucking nigger"" in an insult."
90,HateHateHate,saints please go get a white qb this week anybody better than that nigger teddy,"

The tweet is from a user who is apparently a fan of the New Orleans Saints. They are asking the team to sign a white quarterback this week, because they believe that any white quarterback would be better than their current black quarterback, Teddy Bridgewater."
91,HateHateHate,you niggers blow my mind,"

The tweet is from a user who seems to be angry or frustrated with black people. They use the word ""nigger"" in a derogatory way, implying that black people are stupid or mindless."
92,HateHateHate,u niggers r coonin for that kanye shit,"

The tweet is from a user who is angry at black people for supporting Kanye West. They believe that black people are ""coonin"" or acting like fools for supporting him."
93,HateHateHate,<user> where your ravens stuff trash ass niggers,"

The tweet is from a user who is angry at black people, calling them ""trash ass niggers."" They are questioning where the black people's Ravens gear is, suggesting that they are not true fans of the team."
94,HateHateHate,<user> leave me alone porch monkey lol,"

The tweet is from a user who is telling someone to leave them alone, using a racial slur."
95,HateHateHate,everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct,"

The tweet is in reference to the popularity of the Korean pop group NCT. The user is saying that everyone in the K-pop industry wants to be like NCT, and that if they don't want to be called ""niggers"" they will try to be like the group."
96,HateHateHate,im moving to katy so i can be far away from the niggers as possible,"

The tweet is from a user who is moving to Katy, Texas in order to get away from black people."
97,HateHateHate,on god ion like white women niggers move,"

The tweet is from a user who appears to be angry at black people for what they perceive as their ""niggerantics"" or their tendency to disobey orders."
98,HateHateHate,wow do not all speak at once niggers,"

The tweet is from a user who appears to be angry at black people for what they perceive as their ""niggerantics"" or their tendency to disobey orders."
99,HateHateHate,rosie o ching chong wing wong i hate chinks donnell,"

The tweet is from a user who appears to be angry at Chinese people, specifically Rosie O'Donnell. The user refers to her by a racist slur and says that they hate her."
