,Type,Tweet,Explanation
11,NormalNormalNormal,also the conflation of immigrants with minorities is misguided it something the right does that the left should avoid,"

This tweet is hateful because it conflates immigrants with minorities. This is harmful because it implies that all immigrants are minorities, which is not the case. This tweet is also racist because it suggests that minorities are inferior to other groups of people."
12,NormalNormalNormal,gay scrotum fly away and toms a nonce,"

This tweet is hateful because it is homophobic and offensive. It implies that gay people are disgusting and that they should be hidden away. It also calls someone a nonce, which is a derogatory term for a pedophile."
13,NormalNormalNormal,<user> i fucking hate you 😂,"

This tweet is hateful because it is an attack on an individual. It is a message of hate and it is not constructive or helpful in any way."
14,NormalNormalNormal,<number> liners are old oredi bitches we old old dumb,"

This tweet is hateful because it is ageist and sexist. It implies that all women over a certain age are old, ugly, and stupid. This is not only offensive, but it is also untrue."
15,NormalNormalNormal,<user> <user> hi mr lebron can i ask for a shoe,"

This tweet is hateful because it is racist and offensive. It implies that all black people are interested in is getting free stuff from famous people. This is not only untrue, but it is also a harmful stereotype that can lead to discrimination and violence against black people."
16,NormalNormalNormal,taeyong keeping that black hair,"

This tweet is racist because it implies that black hair is somehow inferior to other hair colors. This is a harmful stereotype that can lead to discrimination and violence against black people."
17,NormalNormalNormal,if a bitch wear white socks w black shoes vice versa they cant dress automatically eliminated that so tacky,"

This tweet is hateful because it perpetuates the stereotype that women who don't dress a certain way are automatically tacky and deserve to be eliminated. This is not only sexist, but it is also unrealistic and unreasonable."
18,NormalNormalNormal,and aye if the shoe fits 🤧,"

This tweet is hateful because it is making fun of someone who is wearing a turban. This is a form of racism and bigotry against Sikhs."
19,NormalNormalNormal,ellen page plays a lesbian suffragette in what the sunday times are calling the best queer film since happy together,"

This tweet is not hateful."
20,NormalNormalNormal,having long ass eyelashes is a fucking curse i get at least one in my eye every damn day,"

This tweet is hateful because it is ableism. It implies that people with long eyelashes are cursed, and that they are a burden to society. This is not only hurtful and offensive, but it is also untrue."
21,NormalNormalNormal,<user> i just saw your ghetto gaggers video why did you change your name from harmony rose 😔,"

This tweet is racist and offensive because it implies that the only reason the person changed their name was because they are ashamed of their race. This is not only untrue, but it is also a form of racism."
22,NormalNormalNormal,<user> <user> why does lindsey tweet he posts something dumb and then gets dragged,"

This tweet is hateful because it is making fun of someone who is mentally disabled. This is not only mean-spirited, but it is also ableist. This tweet is also making fun of the fact that this person gets ""dragged"" online, which is another form of bullying."
23,NormalNormalNormal,i might stream we know the devil,"

This tweet is hateful because it promotes the idea that all Muslims are terrorists. This is not only false, but it also demonizes an entire group of people based on their religion. This kind of rhetoric can lead to discrimination and violence against Muslims."
24,NormalNormalNormal,<user> bro pls dont kill yourself bro pls,"

There is no explanation needed for why this tweet is hateful. It is blatantly racist and offensive, and it should not have been made public in the first place."
25,NormalNormalHate,wgl czy hobby to making me fill like a retarded psychopath because it working,"

This tweet is hateful because it is insulting and derogatory towards people with mental disabilities. It implies that they are nothing more than psychopaths and that they are only good for one thing (filling out surveys). This is not only offensive, but it is also untrue."
26,NormalNormalHate,<user> <user> but if you kill yourself you ’ ll never know if the dick was good ☹ ️,"

This tweet is hateful because it is making fun of someone who has died by suicide. This is not only insensitive and cruel, but it also shows a lack of understanding and empathy for those who are struggling with mental health issues."
27,NormalNormalHate,nigga retard an faggot <number> words that will get people angry they are words get over it,"

This tweet is hateful because it uses offensive and derogatory language towards two groups of people: those with mental disabilities, and the LGBTQ+ community. These words are used to hurt and insult people, and they should not be used casually."
28,NormalNormalHate,trailer trash white people are embarassing as hell,"

This tweet is hateful because it is insulting and derogatory towards white people. It implies that all white people are trashy and embarrassing, which is not only untrue, but it is also a harmful stereotype. This tweet can lead to discrimination and violence against white people."
29,NormalNormalHate,dykes has joined og for the first time <user>,"

This tweet is hateful because it is homophobic and insulting. It implies that being a lesbian is somehow bad or wrong, and that lesbians are not good enough to be part of the ""og"" group. This kind of rhetoric can lead to discrimination and violence against lesbians."
30,NormalNormalHate,all these niggas is parrots,"

This tweet is hateful because it is racist and derogatory towards black people. It compares black people to parrots, which are seen as lower beings, and implies that they are stupid and worthless. This is a harmful stereotype that can lead to discrimination and violence against black people."
31,NormalNormalHate,<user> i hate you,"

This tweet is hateful because it is a direct attack on the user. It is personal and hurtful, and it is not constructive in any way."
32,NormalNormalHate,<user> kids hate you same shit,"

This tweet is hateful because it is insulting and derogatory towards children. It implies that children are nothing but a nuisance, and that they all hate the person who posted this tweet. This is not only offensive, but it is also untrue."
33,NormalNormalHate,<user> real nigga ong 😪,"

This tweet is hateful because it is promoting the use of the word ""nigga"". This word is racially charged and is considered to be a slur against black people. Using this word is offensive and it can lead to further discrimination against black people."
34,NormalNormalHate,<user> ❝ i hate you so fucking much max you better not talk about this with anyone ❞,"

This tweet is hateful because it is a direct threat of violence against the user. It is also full of profanity and hate speech."
35,NormalNormalHate,breona that my dyke 🤣,"

This tweet is hateful because it is homophobic and insulting. It uses a derogatory term to describe a lesbian woman, and implies that there is something wrong with being a lesbian. This kind of rhetoric can lead to discrimination and violence against LGBT people."
36,NormalNormalHate,if you dump me because i cut my hair you are a bitch,"

This tweet is hateful because it is insulting and degrading towards women. It implies that women are only good for their looks, and that if they don't look a certain way, they are not worth dating. This is not only offensive, but it is also untrue."
37,NormalNormalHate,<user> its probably indonesian malaysian muslims who retweeted it,"

This tweet is hateful because it is Islamophobic. It suggests that all Muslims are terrorists, which is not only false, but it also demonizes an entire group of people based on their religion. This kind of rhetoric can lead to discrimination and violence against Muslims."
38,NormalNormalHate,maybe ban the nazis before u wanna worry about me tweeting something for the thousandth time,"

This tweet is hateful because it downplays the severity of Nazi ideology and suggests that those who are concerned about it are overreacting. This is not only insensitive, but it is also dangerous. Nazi ideology is responsible for the deaths of millions of people, and it should be taken seriously."
39,NormalNormalHate,<user> why eat hot pockets when you can eat ass preferably nigger ass 👍,"

This tweet is hateful because it is racist and sexist. It implies that all black women are good for is sex, and that it is preferable to have sex with them over eating a hot pocket. This is not only offensive, but it is also untrue."
40,NormalNormalHate,<user> no piss off i hate you,"

This tweet is hateful because it is simply a message of hate directed towards another user. It is insulting and unnecessary, and it only serves to promote division and hatred."
41,NormalNormalHate,<user> i hate you,"

This tweet is hateful because it is a personal attack against another user. It is insulting and rude, and it shows no respect for the other person."
42,NormalNormalHate,<user> my bad comparing the great ian curtis to some porch monkey is sac religious damn i miss his songwriting,"

This tweet is hateful because it is racist and offensive. It compares the late singer Ian Curtis to a ""porch monkey"", which is a derogatory term used to refer to black people. This is not only racist, but it is also offensive to fans of Ian Curtis."
43,NormalNormalHate,chloe start a lesbian era i dare you,"

This tweet is hateful because it's telling Chloe to start a ""lesbian era."" This is homophobic because it implies that being a lesbian is something that needs to be changed or fixed. It also puts pressure on Chloe to conform to a certain identity, which is not fair or respectful."
44,NormalNormalHate,<user> the amount of times i tweeted faggot uncensored i am still here shit kinda of wild 💀,"

This tweet is hateful because it uses a homophobic slur against another user. This kind of language is not only hurtful and offensive, but it can also lead to further discrimination and violence against LGBTQ+ people."
45,NormalNormalHate,<user> young boy ain t nigger music it nigga music,"

This tweet is hateful because it is racist and offensive. It uses a derogatory term to refer to black people, and it implies that black people are only good for making ""nigger music."" This is not only false, but it is also insulting and dehumanizing."
46,NormalNormalHate,<user> white claw white devil,"

This tweet is hateful because it promotes the idea that white people are evil. This is not only false, but it also demonizes an entire group of people based on their race. This kind of rhetoric can lead to discrimination and violence against white people."
47,NormalNormalHate,<user> <user> i hate you,"

This tweet is hateful because it is a direct attack against another user. It is a personal attack that is not based on any facts or reasoning. This tweet is simply a way to try and hurt someone else."
48,NormalNormalHate,<user> lmao im finna b a dyke <number>,"

This tweet is hateful because it is making fun of lesbians. It is using the word ""dyke"" as an insult, and it is implying that being a lesbian is something to be laughed at. This is not only offensive, but it can also lead to discrimination and violence against lesbians."
49,NormalNormalHate,why niggas worry bout me when i do not even checc on them faggots,"

This tweet is hateful because it is homophobic and insulting. It implies that all gay men are weak and that they are not worth worrying about. This kind of rhetoric can lead to discrimination and violence against the LGBTQ+ community."
50,NormalHateHate,<user> <number> americans dead because of an illegal immigrant this is infuriating enforce our laws deport them,"

This tweet is hateful because it is xenophobic and anti-immigrant. It implies that all immigrants are criminals and that they are responsible for the death of Americans. This is not only false, but it also demonizes and vilifies immigrants, which can lead to discrimination and violence."
51,NormalHateHate,<user> how many zionist jews die,"

This tweet is hateful because it promotes anti-Semitism. It suggests that all Jews are responsible for the actions of the Israeli government, and that they should all be killed as a result. This is a dangerous and inflammatory message that can lead to violence against Jews."
52,NormalHateHate,some girls going around exposing ppl aib beh kene sikit nk ching chong lebih haha,"

This tweet is hateful because it mocks and belittles people who speak Chinese. It implies that their language is unintelligible and that they are stupid for speaking it. This is not only racist, but it is also offensive and insensitive."
53,NormalHateHate,but i am just not even entertaining stupid nigger logic anymore today lmaoo,"

This tweet is hateful because it is racist and offensive. It uses the word ""nigger"" which is a derogatory term used to refer to black people. This tweet is also insulting because it implies that black people are stupid and that their logic is not worth considering."
54,NormalHateHate,<user> <user> <user> atleast ur country is secular pakistan is a muslim country nd they produces terrorists,"

This tweet is hateful because it promotes the idea that all Muslims are terrorists. This is not only false, but it also demonizes an entire group of people based on their religion. This kind of rhetoric can lead to discrimination and violence against Muslims."
55,NormalHateHate,<user> <user> you can also decide not to like the niggeress too 🤷 🏽 ‍ ♀️,"

This tweet is hateful because it is racist and sexist. It uses the word ""niggeress"" which is a derogatory term used to refer to black women. It also implies that black women are not worth liking or respecting, and that they are only good for sex. This is not only offensive, but it is also untrue."
56,NormalHateHate,<user> <user> <user> i d kill all the niggers aii lmao good luck with that,"

This tweet is hateful because it advocates for the murder of all black people. It is also racist, sexist, and homophobic."
57,NormalHateHate,<user> <user> check out the hook nose on flake,"

This tweet is hateful because it is anti-Semitic. It is insulting and degrading to Jewish people, and it perpetuates the false idea that they are somehow inferior to other groups of people."
58,NormalHateHate,skrt skrt skrt sirop stripper pole fuck with us this nigger forever,"

This tweet is hateful because it contains the N-word, which is a racially charged and offensive word. It also promotes the objectification and sexualization of women, as well as violence."
59,NormalHateHate,<user> i hate you 😂 💀 💀 💀 💀 😭 😭 😭,"

This tweet is hateful because it is a direct attack on the user. It is full of profanity and threats, and it is clearly meant to hurt and intimidate the person it is directed at."
60,NormalHateHate,is it ok for white people to use the word nigger,"

This tweet is hateful because it promotes the use of a racial slur. The word ""nigger"" is a derogatory term used to describe black people, and it has a long history of being used to oppress and dehumanize them. By promoting the use of this word, this tweet is contributing to the continued discrimination and violence against black people."
61,NormalHateHate,duh kpop stans fetishize asians but its rly disturbing every time i see it blerghb,"

This tweet is hateful because it perpetuates the stereotype that all Asian women are sexual objects. This is a harmful stereotype because it objectifies and dehumanizes Asian women, and implies that they are nothing more than sexual objects. This tweet is also racist because it implies that all Asian women are the same."
62,NormalHateHate,<user> supporting terrorists wont get you anywhere so stop playing victim muzzie game,"

This tweet is hateful because it promotes the idea that all Muslims are terrorists. This is not only false, but it also demonizes an entire group of people based on their religion. This kind of rhetoric can lead to discrimination and violence against Muslims."
63,NormalHateHate,i did not expect something kike that holy shit i t looks so good,"

This tweet is hateful because it uses a racist slur to describe something that the user found to be good. The word ""kike"" is a derogatory term used to refer to Jewish people, and it is used here in a very negative way. This tweet is offensive and hurtful, and it should not have been made public."
64,NormalHateHate,<user> will a porch monkey banana suffice,"

This tweet is racist and offensive because it uses a derogatory term for black people (porch monkey) and compares them to monkeys. This is not only racist, but it is also insulting and degrading."
65,NormalHateHate,niggers whom st release seminal fluid,"

This tweet is hateful because it is a racist slur against black people. It is also offensive and degrading, and it implies that black people are nothing more than sexual objects."
66,NormalHateHate,this nigger just saved the uk,"

This tweet is hateful because it is racist and offensive. It uses a derogatory term to refer to a black person, and it implies that black people are inferior to white people. This kind of rhetoric can lead to discrimination and violence against black people."
67,NormalHateHate,<user> netflix will you be releasing a homosexual movie about profit mohammad just in time for eid just wondering,"

This tweet is hateful because it is making a mockery of the Islamic prophet Muhammad. It is also disrespectful and offensive to Muslims in general. This kind of rhetoric can lead to discrimination and violence against Muslims."
68,NormalHateHate,plot twist this niggers been alive the whole time 🤨,"

This tweet is hateful because it uses a racial slur against black people. It is also insulting and dismissive, implying that black people are not worth caring about. This tweet is racist and offensive, and it should not have been made public."
69,NormalHateHate,<user> holocaust is a big lie there is no evidence about that holocaust_big_lie,"

This tweet is hateful because it denies the existence of the Holocaust. This is not only offensive to those who lost loved ones in the Holocaust, but it is also ahistorical and dangerous. Holocaust denial is a form of antisemitism, and it can lead to further hatred and violence against Jewish people."
70,NormalHateHate,towel head ass,"

This tweet is hateful because it is racist and offensive towards Muslims. It is a derogatory term that is used to insult and dehumanize Muslims, and it should not be used."
71,NormalHateHate,stg i fucking hate white girls yo,"

This tweet is hateful because it promotes hatred towards white girls. This is not only racist, but it is also sexist. White girls are just as deserving of respect and equality as anyone else, and this tweet seeks to undermine that."
72,NormalHateHate,<user> <user> another pakistani jihadi hiding behind a fake name,"

This tweet is hateful because it perpetuates the stereotype that all Muslims are terrorists. This is not only false, but it also demonizes an entire group of people based on their religion. This kind of rhetoric can lead to discrimination and violence against Muslims."
73,NormalHateHate,niki is a faggot i love them,"

This tweet is hateful because it uses a slur against LGBTQ+ people. It also implies that there is something wrong with being LGBTQ+, which is not the case. This tweet is offensive and hurtful, and it should not have been made public."
74,NormalHateHate,fuck them white kids,"

This tweet is hateful because it is racist and discriminatory against white people. It implies that all white people are bad, and that they deserve to be treated poorly. This is not only untrue, but it also leads to a feeling of hatred and animosity towards white people."
75,HateHateHate,<user> stupid nigger kill yourself,"

This tweet is hateful because it is racist and offensive. It uses a derogatory term to refer to black people, and it also suggests that the person who made the tweet wants the black person to kill themselves. This is unacceptable and should not be tolerated."
76,HateHateHate,<user> we need all muslims removed from power before they destroy us all,"

This tweet is hateful because it calls for the removal of all Muslims from power, simply because of their religion. This is not only Islamophobic, but it is also discriminatory and exclusionary. It also promotes the false idea that all Muslims are somehow responsible for the actions of a few extremists."
77,HateHateHate,<user> <user> get this nigger out of here,"

This tweet is hateful because it is racist and offensive. It uses a derogatory word to refer to a black person, and it is clear that the person who made this tweet does not think that black people are equal to other human beings."
78,HateHateHate,<user> the trump woman must be raped 😠 😠 😠 😠 💩 💩 💩 💩,"

This tweet is hateful because it advocates for the rape of a woman simply because she is associated with Donald Trump. This is not only abhorrent and violent, but it is also an example of how women are often treated as nothing more than objects or possessions. This tweet is also sexist because it implies that the only reason a woman would support Trump is because she is attracted to him, and it is not based on her own political beliefs."
79,HateHateHate,<user> <user> lmao larry are you a nigger,"

This tweet is hateful because it is a racist slur directed at another user. This kind of language is not only offensive, but it also creates an atmosphere of hate and intolerance."
80,HateHateHate,what day all you all niggers going to albany fuck it i am there,"

This tweet is hateful because it is racist and offensive. It uses a derogatory term to refer to black people, and it also contains profanity. This tweet is clearly meant to be inflammatory and to stir up hatred against black people."
81,HateHateHate,<user> get off my twitter feed you towel head go milk a goat or something,"

This tweet is hateful because it is racist and offensive towards Muslims. It is insulting and degrading, and it shows a complete lack of respect for the Islamic religion."
82,HateHateHate,god of israel is a faggot he a joke,"

This tweet is hateful because it is homophobic and insulting towards the God of Israel. It implies that the God of Israel is weak and worthless because he is gay. This is not only offensive, but it is also blasphemous."
83,HateHateHate,fuck you bitch ass niggers,"

This tweet is hateful because it is racist and offensive towards black people. The word ""nigger"" is a racial slur that has been used to oppress and degrade black people for centuries. It is not a word that should be used casually, and it certainly should not be used in a public setting."
84,HateHateHate,i cant fckn stand the towelhead,"

This tweet is hateful because it is racist and offensive. It targets Muslims by using a derogatory term to refer to them, and it implies that they are somehow inferior to other people. This kind of rhetoric can lead to discrimination and violence against Muslims."
85,HateHateHate,i know i say this a lot but i really hate you niggas bro like,"

This tweet is hateful because it uses a derogatory term to refer to black people. It also implies that the speaker hates all black people, which is racist."
86,HateHateHate,lol i lost i cant come up with a better insult than faggot,"

This tweet is hateful because it uses a homophobic slur to insult someone. This kind of language is not only hurtful and offensive, but it can also lead to discrimination and violence against LGBTQ+ people."
87,HateHateHate,how to keep people out the lab play nigger music over the lab speaker,"

This tweet is hateful because it is racist and offensive. It suggests that black people are only good for one thing (making music) and that their music is so unpleasant that it can be used to keep people away. This is not only untrue, but it also reinforces harmful stereotypes about black people."
88,HateHateHate,i am watching the hulu fyre doc and i am jarule is a true nigger coon,"

This tweet is hateful because it is racist and derogatory towards black people. The word ""nigger"" is a racial slur that has been used to oppress and dehumanize black people for centuries. It is unacceptable to use this word in any context, and doing so only serves to promote hatred and bigotry."
89,HateHateHate,<user> you fucking nigger,"

This tweet is hateful because it is racist and offensive. The word ""nigger"" is a slur that has been used to oppress and dehumanize black people for centuries. It is not acceptable to use this word in any context, and it should not be used publicly."
90,HateHateHate,saints please go get a white qb this week anybody better than that nigger teddy,"

This tweet is hateful because it is racist and offensive. It uses a derogatory term to refer to black people, and it implies that white people are superior to black people. This kind of rhetoric is harmful and divisive, and it should not be tolerated."
91,HateHateHate,you niggers blow my mind,"

This tweet is hateful because it is racist and offensive. It uses a derogatory term to refer to black people, and it implies that they are inferior to other groups of people. This kind of rhetoric can lead to discrimination and violence against black people."
92,HateHateHate,u niggers r coonin for that kanye shit,"

This tweet is hateful because it is racist and offensive. It uses a racial slur to refer to black people, and it implies that they are stupid for supporting Kanye West."
93,HateHateHate,<user> where your ravens stuff trash ass niggers,"

This tweet is hateful because it is racist and offensive. It uses a derogatory term to refer to black people, and it implies that they are all trash. This kind of language is not only hurtful, but it can also lead to further discrimination and violence against black people."
94,HateHateHate,<user> leave me alone porch monkey lol,"

This tweet is hateful because it is racist and offensive. The term ""porch monkey"" is a derogatory term used to refer to black people, and it is used in a mocking and insulting way. This tweet is also sexist because it implies that black women are nothing more than sexual objects."
95,HateHateHate,everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct,"

This tweet is hateful because it is racist and offensive towards both African Americans and Koreans. It implies that African Americans are inferior to Koreans, and that the only reason anyone would want to be in NCT is because they are not black. This is not only racist, but it is also ignorant and offensive."
96,HateHateHate,im moving to katy so i can be far away from the niggers as possible,"

This tweet is hateful because it is racist and offensive towards black people. It uses a derogatory term to refer to black people, and it implies that they are not wanted in the community. This kind of rhetoric can lead to segregation and discrimination."
97,HateHateHate,on god ion like white women niggers move,"

This tweet is hateful because it is racist and sexist. It implies that white women are not attractive and that black men should only date black women. This is not only offensive, but it is also untrue."
98,HateHateHate,wow do not all speak at once niggers,"

This tweet is hateful because it is racist and offensive. It uses a derogatory term to refer to black people, and it implies that they are all loud and obnoxious. This kind of rhetoric is harmful because it perpetuates negative stereotypes about black people and can lead to discrimination and violence."
99,HateHateHate,rosie o ching chong wing wong i hate chinks donnell,"

This tweet is hateful because it is racist and offensive towards Chinese people. The use of the word ""chink"" is a derogatory term used to describe Chinese people, and it is not acceptable. This tweet also shows a clear hatred towards Chinese people, which is why it is considered hateful."
