tweetId,strategyId,annotationId,fluency,informativeness,persuasiveness,soundness,hatefulness,hateLabel,consistentHateLabel
14,1,2,-1,-1,-1,-1,4,hateful,hateful
14,1,3,-1,-1,-1,-1,2,hateful,hateful
15,1,1,-1,-1,-1,-1,4,hateful,hateful
15,1,2,-1,-1,-1,-1,4,hateful,hateful
15,1,3,-1,-1,-1,-1,3,hateful,hateful
16,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
16,1,2,-1,-1,-1,-1,1,non-hateful,non-hateful
16,1,3,-1,-1,-1,-1,5,non-hateful,non-hateful
17,1,1,-1,-1,-1,-1,5,neither,neither
17,1,2,-1,-1,-1,-1,3,neither,neither
17,1,3,-1,-1,-1,-1,1,neither,neither
18,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
18,1,2,-1,-1,-1,-1,5,non-hateful,non-hateful
18,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
19,1,1,-1,-1,-1,-1,1,non-hateful,consistent non-hateful
19,1,2,-1,-1,-1,-1,1,non-hateful,consistent non-hateful
19,1,3,-1,-1,-1,-1,1,non-hateful,consistent non-hateful
20,1,1,-1,-1,-1,-1,1,hateful,hateful
20,1,3,-1,-1,-1,-1,5,hateful,hateful
20,1,2,-1,-1,-1,-1,5,hateful,hateful
21,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
21,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
21,1,2,-1,-1,-1,-1,5,non-hateful,non-hateful
22,1,2,-1,-1,-1,-1,2,non-hateful,consistent non-hateful
22,1,3,-1,-1,-1,-1,1,non-hateful,consistent non-hateful
22,1,1,-1,-1,-1,-1,2,non-hateful,consistent non-hateful
23,1,1,-1,-1,-1,-1,5,hateful,hateful
23,1,3,-1,-1,-1,-1,5,hateful,hateful
23,1,2,-1,-1,-1,-1,3,hateful,hateful
24,1,2,-1,-1,-1,-1,1,non-hateful,consistent non-hateful
24,1,1,-1,-1,-1,-1,1,non-hateful,consistent non-hateful
24,1,3,-1,-1,-1,-1,1,non-hateful,consistent non-hateful
25,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
25,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
25,1,2,-1,-1,-1,-1,4,non-hateful,non-hateful
26,1,1,-1,-1,-1,-1,2,non-hateful,non-hateful
26,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
26,1,2,-1,-1,-1,-1,3,non-hateful,non-hateful
27,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
27,1,2,-1,-1,-1,-1,2,non-hateful,non-hateful
27,1,3,-1,-1,-1,-1,4,non-hateful,non-hateful
28,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
28,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
28,1,3,-1,-1,-1,-1,4,hateful,consistent hateful
29,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
29,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
29,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
30,1,2,-1,-1,-1,-1,4,hateful,hateful
30,1,1,-1,-1,-1,-1,2,hateful,hateful
30,1,3,-1,-1,-1,-1,4,hateful,hateful
31,1,1,-1,-1,-1,-1,4,hateful,consistent hateful
31,1,3,-1,-1,-1,-1,4,hateful,consistent hateful
31,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
32,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
32,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
32,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
33,1,1,-1,-1,-1,-1,4,hateful,hateful
33,1,3,-1,-1,-1,-1,1,hateful,hateful
33,1,2,-1,-1,-1,-1,5,hateful,hateful
34,1,1,-1,-1,-1,-1,4,hateful,hateful
34,1,2,-1,-1,-1,-1,5,hateful,hateful
34,1,3,-1,-1,-1,-1,2,hateful,hateful
35,1,2,-1,-1,-1,-1,5,hateful,hateful
35,1,3,-1,-1,-1,-1,2,hateful,hateful
35,1,1,-1,-1,-1,-1,4,hateful,hateful
36,1,2,-1,-1,-1,-1,2,non-hateful,non-hateful
36,1,3,-1,-1,-1,-1,2,non-hateful,non-hateful
36,1,1,-1,-1,-1,-1,3,non-hateful,non-hateful
37,1,1,-1,-1,-1,-1,3,hateful,hateful
37,1,2,-1,-1,-1,-1,4,hateful,hateful
37,1,3,-1,-1,-1,-1,4,hateful,hateful
38,1,1,-1,-1,-1,-1,4,hateful,hateful
38,1,2,-1,-1,-1,-1,4,hateful,hateful
38,1,3,-1,-1,-1,-1,3,hateful,hateful
39,1,1,-1,-1,-1,-1,2,non-hateful,non-hateful
39,1,3,-1,-1,-1,-1,2,non-hateful,non-hateful
39,1,2,-1,-1,-1,-1,4,non-hateful,non-hateful
40,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
40,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
40,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
41,1,1,-1,-1,-1,-1,4,hateful,hateful
41,1,2,-1,-1,-1,-1,3,hateful,hateful
41,1,3,-1,-1,-1,-1,5,hateful,hateful
42,1,1,-1,-1,-1,-1,4,hateful,hateful
42,1,2,-1,-1,-1,-1,1,hateful,hateful
42,1,3,-1,-1,-1,-1,4,hateful,hateful
43,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
43,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
43,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
44,1,1,-1,-1,-1,-1,3,non-hateful,non-hateful
44,1,2,-1,-1,-1,-1,1,non-hateful,non-hateful
44,1,3,-1,-1,-1,-1,2,non-hateful,non-hateful
45,1,1,-1,-1,-1,-1,4,hateful,consistent hateful
45,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
45,1,3,-1,-1,-1,-1,4,hateful,consistent hateful
46,1,2,-1,-1,-1,-1,5,hateful,hateful
46,1,3,-1,-1,-1,-1,5,hateful,hateful
46,1,1,-1,-1,-1,-1,1,hateful,hateful
47,1,1,-1,-1,-1,-1,5,non-hateful,non-hateful
47,1,2,-1,-1,-1,-1,1,non-hateful,non-hateful
47,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
48,1,1,-1,-1,-1,-1,5,hateful,hateful
48,1,2,-1,-1,-1,-1,3,hateful,hateful
48,1,3,-1,-1,-1,-1,4,hateful,hateful
49,1,1,-1,-1,-1,-1,4,hateful,hateful
49,1,2,-1,-1,-1,-1,1,hateful,hateful
49,1,3,-1,-1,-1,-1,4,hateful,hateful
50,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
50,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
50,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
51,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
51,1,2,-1,-1,-1,-1,3,non-hateful,non-hateful
51,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
52,1,2,-1,-1,-1,-1,4,hateful,hateful
52,1,1,-1,-1,-1,-1,5,hateful,hateful
52,1,3,-1,-1,-1,-1,2,hateful,hateful
53,1,1,-1,-1,-1,-1,5,non-hateful,non-hateful
53,1,2,-1,-1,-1,-1,1,non-hateful,non-hateful
53,1,3,-1,-1,-1,-1,2,non-hateful,non-hateful
54,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
54,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
54,1,3,-1,-1,-1,-1,4,hateful,consistent hateful
55,1,1,-1,-1,-1,-1,1,hateful,hateful
55,1,2,-1,-1,-1,-1,4,hateful,hateful
55,1,3,-1,-1,-1,-1,4,hateful,hateful
56,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
56,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
56,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
57,1,1,-1,-1,-1,-1,4,hateful,hateful
57,1,2,-1,-1,-1,-1,1,hateful,hateful
57,1,3,-1,-1,-1,-1,5,hateful,hateful
58,1,1,-1,-1,-1,-1,3,hateful,hateful
58,1,2,-1,-1,-1,-1,4,hateful,hateful
58,1,3,-1,-1,-1,-1,4,hateful,hateful
59,1,1,-1,-1,-1,-1,2,non-hateful,non-hateful
59,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
59,1,2,-1,-1,-1,-1,4,non-hateful,non-hateful
60,1,1,-1,-1,-1,-1,4,neither,neither
60,1,2,-1,-1,-1,-1,3,neither,neither
60,1,3,-1,-1,-1,-1,2,neither,neither
61,1,1,-1,-1,-1,-1,1,non-hateful,non-hateful
61,1,2,-1,-1,-1,-1,2,non-hateful,non-hateful
61,1,3,-1,-1,-1,-1,4,non-hateful,non-hateful
62,1,1,-1,-1,-1,-1,3,neither,consistent neither
62,1,2,-1,-1,-1,-1,3,neither,consistent neither
62,1,3,-1,-1,-1,-1,3,neither,consistent neither
63,1,1,-1,-1,-1,-1,1,hateful,hateful
63,1,2,-1,-1,-1,-1,4,hateful,hateful
63,1,3,-1,-1,-1,-1,5,hateful,hateful
64,1,1,-1,-1,-1,-1,5,non-hateful,non-hateful
64,1,2,-1,-1,-1,-1,2,non-hateful,non-hateful
64,1,3,-1,-1,-1,-1,1,non-hateful,non-hateful
65,1,2,-1,-1,-1,-1,3,neither,neither
65,1,3,-1,-1,-1,-1,3,neither,neither
65,1,1,-1,-1,-1,-1,2,neither,neither
66,1,1,-1,-1,-1,-1,5,hateful,hateful
66,1,2,-1,-1,-1,-1,5,hateful,hateful
66,1,3,-1,-1,-1,-1,3,hateful,hateful
67,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
67,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
67,1,3,-1,-1,-1,-1,4,hateful,consistent hateful
68,1,1,-1,-1,-1,-1,5,hateful,hateful
68,1,2,-1,-1,-1,-1,4,hateful,hateful
68,1,3,-1,-1,-1,-1,3,hateful,hateful
69,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
69,1,3,-1,-1,-1,-1,4,hateful,consistent hateful
69,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
70,1,1,-1,-1,-1,-1,3,hateful,hateful
70,1,2,-1,-1,-1,-1,5,hateful,hateful
70,1,3,-1,-1,-1,-1,4,hateful,hateful
71,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
71,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
71,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
72,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
72,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
72,1,3,-1,-1,-1,-1,4,hateful,consistent hateful
73,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
73,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
73,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
74,1,1,-1,-1,-1,-1,4,hateful,hateful
74,1,2,-1,-1,-1,-1,4,hateful,hateful
74,1,3,-1,-1,-1,-1,1,hateful,hateful
75,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
75,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
75,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
76,1,1,-1,-1,-1,-1,1,hateful,hateful
76,1,2,-1,-1,-1,-1,5,hateful,hateful
76,1,3,-1,-1,-1,-1,5,hateful,hateful
77,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
77,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
77,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
78,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
78,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
78,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
79,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
79,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
79,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
80,1,1,-1,-1,-1,-1,2,hateful,hateful
80,1,2,-1,-1,-1,-1,5,hateful,hateful
80,1,3,-1,-1,-1,-1,5,hateful,hateful
81,1,1,-1,-1,-1,-1,3,neither,neither
81,1,2,-1,-1,-1,-1,2,neither,neither
81,1,3,-1,-1,-1,-1,3,neither,neither
82,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
82,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
82,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
83,1,1,-1,-1,-1,-1,5,neither,neither
83,1,2,-1,-1,-1,-1,3,neither,neither
83,1,3,-1,-1,-1,-1,2,neither,neither
84,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
84,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
84,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
85,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
85,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
85,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
86,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
86,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
86,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
87,1,1,-1,-1,-1,-1,4,neither,neither
87,1,2,-1,-1,-1,-1,2,neither,neither
87,1,3,-1,-1,-1,-1,3,neither,neither
88,1,1,-1,-1,-1,-1,5,hateful,hateful
88,1,2,-1,-1,-1,-1,1,hateful,hateful
88,1,3,-1,-1,-1,-1,4,hateful,hateful
89,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
89,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
89,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
90,1,1,-1,-1,-1,-1,2,hateful,hateful
90,1,2,-1,-1,-1,-1,5,hateful,hateful
90,1,3,-1,-1,-1,-1,5,hateful,hateful
91,1,1,-1,-1,-1,-1,2,hateful,hateful
91,1,2,-1,-1,-1,-1,5,hateful,hateful
91,1,3,-1,-1,-1,-1,5,hateful,hateful
92,1,1,-1,-1,-1,-1,4,hateful,hateful
92,1,2,-1,-1,-1,-1,5,hateful,hateful
92,1,3,-1,-1,-1,-1,2,hateful,hateful
93,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
93,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
93,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
94,1,1,-1,-1,-1,-1,5,hateful,hateful
94,1,2,-1,-1,-1,-1,5,hateful,hateful
94,1,3,-1,-1,-1,-1,3,hateful,hateful
95,1,1,-1,-1,-1,-1,3,hateful,hateful
95,1,2,-1,-1,-1,-1,5,hateful,hateful
95,1,3,-1,-1,-1,-1,4,hateful,hateful
96,1,1,-1,-1,-1,-1,4,hateful,consistent hateful
96,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
96,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
97,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
97,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
97,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
98,1,1,-1,-1,-1,-1,4,hateful,consistent hateful
98,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
98,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
99,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
99,1,2,-1,-1,-1,-1,4,hateful,consistent hateful
99,1,3,-1,-1,-1,-1,5,hateful,consistent hateful
100,1,1,-1,-1,-1,-1,5,hateful,consistent hateful
100,1,2,-1,-1,-1,-1,5,hateful,consistent hateful
100,1,3,-1,-1,-1,-1,4,hateful,consistent hateful
